TS - 784570790; TJ - 784118568
TS - 816671841; TJ - 816233158
TS - 831857632; TJ - 831319248
TS - 916536869; TJ - 916089000
TS - 771215980; TJ - 770861462
TS - 842901847; TJ - 842350598
TS - 985538697; TJ - 984426790
TS - 914193257; TJ - 911845211
TS - 856184130; TJ - 855690405
TS - 1061431598; TJ - 1060986621
TS - 1255948222; TJ - 1255477918
TS - 1236831268; TJ - 1236431623
TS - 1405700660; TJ - 1399394847
TS - 1471168661; TJ - 1470680283
TS - 2258797169; TJ - 2248986759
TS - 2153262747; TJ - 2151919742
TS - 1703650459; TJ - 1703038555
TS - 1275935874; TJ - 1275324914
TS - 1722530371; TJ - 1722070180
TS - 1174023843; TJ - 1173610237
TS - 1261329644; TJ - 1260902925
TS - 2254138458; TJ - 2247193362
