p-WW67,Roman Holiday,1953,Wyler,16.160000
p-WTN12,Hot Rod Hullabaloo,1966,Naud,5.300000
p-CSi6,Bride of the Gorilla,1951,C.Siodmak,10.380000
p-PWa10,House of the Long Shadows,1982,P.Walker,19.030001
p-RdR40,Employees' Entrance,1933,delRuth,19.770000
p-RFu10,Wuthering Height,1970,Fuest,18.590000
p-RSt332,Foghorn,1958,R.Stevens,18.389999
p-RFu12,Dr. Phibes Rises Again,1972,Fuest,16.389999
p-RFu11,The Abominable Dr. Phibes,1971,Fuest,8.950000
p-RSt334,The Canary Sedan,1958,R.Stevens,18.660000
p-RSt335,Don't Interrupt,1958,R.Stevens,18.670000
p-QTa1,Reservoir Dogs,1992,Tarantino,5.190000
p-RSt325,The Dangerous People,1957,R.Stevens,12.790000
p-RdR37,Taxi!,1932,delRuth,5.040000
p-HGC14,Manon,1949,Clouzot,6.540000
p-RSt327,Heart of Gold,1957,R.Stevens,16.389999
p-RSt328,Lord Arthur Savile's Crime,1958,R.Stevens,13.300000
p-AKj16,Beyond the Sea of Death,1964,Kjellin,13.100000
p-RSt329,The Motive,1958,R.Stevens,12.420000
p-HGC17,Les Diaboliques,1954,Clouzot,7.850000
p-HGC16,Le Salaire de la Peur,1952,Clouzot,17.240000
p-WW73,Desperate Hours,1955,Wyler,13.250000
p-SJF9,The Leather Boys,1963,Furie,7.740000
p-ThA10,The Silver Streak,1934,Atkins,14.580000
p-RiF4,So This is New York,1952,R.Fleischer,7.150000
p-TBi10,Star Trap,1989,Bigat,14.490000
p-ACj113,The Kiss Off,1961,Crosland~jr,9.600000
p-VeZ10,Fade to Black,1980,Zimmerman,12.070000
p-WMa3,House on Haunted Hill,1999,Malone,6.190000
p-CHa10,Losin' It,1982,Hanson,19.340000
p-RoA45,Ulzana's Raid,1972,Aldrich,16.930000
p-BE16,The Party,1968,B.Edwards,5.900000
p-RdR66,Maisie Gets Her Man,1942,delRuth,19.870001
p-GM190,The Goldwyn Follies,1938,Geo.Marshall,14.910000
p-RdR63,The Chocolate Soldier,1941,delRuth,19.910000
p-BE11,The Pink Panther,1963,B.Edwards,7.520000
p-StZ5,A Civil Action,1998,Zaillian,10.030000
p-WW42,Dodsworth,1936,Wyler,13.450000
p-WW41,These Three,1936,Wyler,12.850000
p-RPr10,Write to Kill,1990,Preuss,17.490000
p-RHf10,Futureworld,1976,Heffron,14.370000
p-WW44,Jezebel,1938,Wyler,6.900000
p-TCl10,McVicar,1980,Clegg,5.720000
p-WW43,Dead End,1937,Wyler,6.760000
p-IB8,Broken Blossoms,1936,Brahm,6.810000
p-RoA41,Grissom Gang,1971,Aldrich,8.310000
p-WW45,Wuthering Heights,1939,Wyler,11.700000
p-MBr10,Beverly Hills Cop,1984,Brest,19.049999
p-ACj124,Apex,1962,Crosland~jr,10.950000
p-WW47,The Westerner,1940,Wyler,14.100000
p-LwT33,Cujo,1983,Teague,14.960000
p-CTB10,Abbott and Costello Meet Frankenstein,1948,Barton,10.330000
p-SSu10,Wayne's World 2,1993,Surjik,13.010000
p-StF10,The Grifters,1990,Frears,14.350000
p-HvH13,Death Scene,1965,Hart,7.630000
p-RdR56,Broadway Melody of 1938,1938,delRuth,9.720000
p-JLG1,A Bout de Souffle,1959,Godard,6.960000
p-Z1110,They Knew What They Wanted,1928,Unknown11,13.630000
p-RdR54,On the Avenue,1937,delRuth,16.760000
p-JSq10,The 3 Worlds of Gulliver,1960,Sher,6.640000
p-TTz2,Fighting Father Dunne,1942,Tetzlaff,18.830000
p-IMz10,The Long Good Friday,1980,Mackenzie,12.130000
p-RdR52,Born to Dance,1936,delRuth,8.400000
p-TTz4,Riff Raff,1946,Tetzlaff,6.360000
p-DeJ10,Jubilee,1978,Jarman,5.220000
p-TTz8,Johnny Allegro,1948,Tetzlaff,16.410000
p-RoA32,The Legend of Lylah Clare,1968,Aldrich,15.850000
p-TTz9,The Window,1949,Tetzlaff,15.700000
p-WW54,Mrs.~Miniver,1942,Wyler,8.710000
p-xSt10,My Stepmother is an Alien,1996,Sexton,14.000000
p-LwT20,The Lady in Red,1978,Teague,8.600000
p-MCi2,The Deer Hunter,1978,Cimino,5.930000
p-WvD64,Marie Antoinette,1938,VanDyke,14.740000
p-HCP28,Three for the Show,1955,H.Potter,15.210000
p-HyA2,I Love You, Alice B. Toklas!,1968,Averback,13.970000
p-WvD60,After The Thin Man,1936,VanDyke,16.459999
p-DMD35,The Brothers,1947,D.MacDonald,17.049999
p-RPa10,Cry Danger,1951,Parrish,15.080000
p-WAS80,The Richest Girl in The World,1932,Seiter,14.920000
p-RrS10,Gentlemen Prefer Brunettes,1955,Sale,18.129999
p-WAS82,If Only You Could Cook,1935,Seiter,12.330000
p-WAS83,Roberta,1935,Seiter,18.530001
p-WvD67,It's A Wonderful World,1939,VanDyke,15.670000
p-WvD69,Another Thin Man,1939,VanDyke,19.650000
p-HRv10,The Lost City,1935,Revier,15.400000
p-LaC20,Great Day,1945,Comfort,11.380000
p-VZg10,Divine Waters,1983,Zaggario,11.140000
p-IF112,The Searchers,1956,J.Ford,17.139999
p-IF115,The Last Hurrah,1958,J.Ford,11.420000
p-HMo10,With Six You Get Eggroll,1968,H.Morris,9.190000
p-LaC25,Silent Dust,1948,Comfort,6.410000
p-SHS10,Hostage Flight,1989,Stern,11.390000
p-SaG10,Theater of Death,1967,Gallu,12.350000
p-WDT19,Johanna Enlists,1918,W.D.Taylor,5.140000
p-DMD40,Christopher Columbus,1949,D.MacDonald,10.410000
p-MCh5,Hussy,1979,Ma.Chapman,17.230000
p-IF111,Mr.~Roberts,1955,J.Ford,7.770000
p-JD15,Never on Sunday,1959,Dassin,5.590000
p-WAS77,Sons of the Desert,1933,Seiter,5.500000
p-JD14,He Who Must Die,1958,Dassin,9.480000
p-WvD75,Rage in Heaven,1941,VanDyke,14.940000
p-ML9,The Big Broadcast of 1937,1937,Leisen,6.550000
p-WvD76,Shadow of the Thin Man,1941,VanDyke,8.240000
p-WvD70,Andy Hardy Gets Spring Fever,1939,VanDyke,6.030000
p-ML6,Hands Across the Table,1935,Leisen,18.809999
p-WvD72,Bitter Sweet,1939,VanDyke,16.809999
p-ByH12,Long John Silver,1953,Haskin,6.300000
p-MPa7,Manon des Sources,1952,Pagnol,12.860000
p-WvD79,Cairo,1942,VanDyke,15.960000
p-GP13,Dreigroschenoper,1931,G.W.Pabst,11.100000
p-RoA57,Hustle,1975,Aldrich,10.690000
p-WW30,Counsellor at Law,1933,Wyler,14.460000
p-EBS50,King Kong,1933,Schoedsack,18.700001
p-RiB1,My Favourite Year,1982,Benjamin,16.920000
p-BBw10,Endless Summer,1966,Br.Brown,15.540000
p-StS13,Ocean's Eleven,2001,Soderbergh,13.660000
p-ToL1,Born Losers,1967,Laughlin,11.810000
p-JVi23,L'Atalante,1934,Vigo,14.480000
p-StS10,Out of Sight,1998,Soderbergh,16.770000
p-RoN28,Meteor,1979,Neame,17.549999
p-IG6,License To Kill,1989,Glen,8.480000
p-NiR3,Don't Look Now,1973,Roeg,7.530000
p-IG5,License Revoked,1988,Glen,12.950000
p-IG4,The Living Daylights,1985,Glen,13.190000
p-PaM10,Orient Express,1934,P.Martin,11.840000
